time,YJ-3A-DSG-05,YJ-3A-DSG-01,YJ-3A-DSG-06,YJ-3A-DSG-04,YJ-3A-DSG-03,YJ-3A-DSG-02
2014-01-22 1:34,1689.607544,-698.1954346,503.3655396,-265.9306946,459.358429,1704.386475
2014-01-22 1:34,1689.700928,-698.2727661,503.3044128,-265.9143372,459.3747253,1704.435303
2014-01-22 1:34,1689.883789,-698.3094482,503.2718201,-265.7998352,459.3788147,1704.418945
2014-01-22 1:34,1689.863403,-698.260498,503.2514343,-265.8611755,459.4276733,1704.415039
2014-01-22 1:34,1689.765991,-698.2727661,503.153656,-265.8284607,459.4276733,1704.337524
2014-01-22 1:34,1689.737671,-698.2890625,503.1740417,-265.9429626,459.4276733,1704.386475
2014-01-22 1:34,1689.818848,-698.3379517,503.2677307,-265.9306946,459.411377,1704.44751
2014-01-22 1:34,1689.786377,-698.34198,503.2881165,-265.8816223,459.4439697,1704.529053
2014-01-22 1:34,1689.737671,-698.3094482,503.2840271,-265.8284607,459.2770081,1704.496338
2014-01-22 1:34,1689.684814,-698.260498,503.2881165,-265.9593201,459.358429,1704.435303
2014-01-22 1:34,1689.765991,-698.1750488,503.2351379,-265.947052,459.4073181,1704.431152
2014-01-22 1:34,1689.688843,-698.2280273,503.2229309,-265.9102478,459.2810669,1704.480225
2014-01-22 1:34,1689.587402,-698.2565308,503.2881165,-265.8448181,459.2159119,1704.382324
2014-01-22 1:34,1689.640137,-698.223938,503.2718201,-265.8816223,459.3299561,1704.365967
2014-01-22 1:34,1689.688843,-698.1954346,503.3369751,-265.9797668,459.4928284,1704.418945
2014-01-22 1:34,1689.636108,-698.2116699,503.4143982,-265.9961243,459.4887695,1704.467896
2014-01-22 1:34,1689.554932,-698.2768555,503.3329468,-265.9797668,459.411377,1704.398682
2014-01-22 1:34,1689.668579,-698.3094482,503.1251221,-265.8284607,459.4398804,1704.44751
2014-01-22 1:34,1689.782227,-698.3704834,503.1862488,-265.8611755,459.4928284,1704.431152
2014-01-22 1:34,1689.717285,-698.2930908,503.3369751,-265.8979797,459.3788147,1704.415039
2014-01-22 1:34,1689.688843,-698.3379517,503.300354,-266.0083618,459.4561768,1704.467896
2014-01-22 1:34,1689.603638,-698.3379517,503.2881165,-265.8448181,459.5213318,1704.44751
2014-01-22 1:34,1689.765991,-698.3379517,503.1251221,-265.8652649,459.358429,1704.418945
2014-01-22 1:34,1689.753784,-698.3379517,503.2514343,-265.877533,459.2322083,1704.549438
2014-01-22 1:34,1689.721313,-698.260498,503.2555237,-265.8816223,459.2810669,1704.496338
2014-01-22 1:34,1689.782227,-698.2280273,503.1862488,-265.8121033,459.3625183,1704.337524
2014-01-22 1:34,1689.668579,-698.354248,503.2718201,-265.83255,459.4236145,1704.463867
2014-01-22 1:34,1689.640137,-698.3094482,503.3329468,-265.8448181,459.476532,1704.463867
2014-01-22 1:34,1689.688843,-698.3379517,503.3492432,-265.8489075,459.358429,1704.451538
2014-01-22 1:34,1689.688843,-698.3216553,503.2351379,-265.8611755,459.4236145,1704.463867
2014-01-22 1:34,1689.591431,-698.354248,503.2677307,-265.947052,459.4887695,1704.349854
2014-01-22 1:34,1689.717285,-698.2930908,503.153656,-265.9306946,459.5417175,1704.44751
2014-01-22 1:34,1689.814697,-698.2890625,503.153656,-265.9634094,459.4561768,1704.512695
2014-01-22 1:34,1689.753784,-698.2890625,503.2025452,-265.9797668,459.4276733,1704.463867
2014-01-22 1:34,1689.688843,-698.3583374,503.2392273,-265.9306946,459.3788147,1704.415039
2014-01-22 1:34,1689.700928,-698.5048828,503.2514343,-265.8816223,459.411377,1704.484253
2014-01-22 1:34,1689.733521,-698.3868408,503.3369751,-265.9593201,459.3910217,1704.545288
2014-01-22 1:34,1689.782227,-698.3379517,503.3369751,-265.8816223,459.3910217,1704.480225
2014-01-22 1:34,1689.721313,-698.3868408,503.3044128,-265.83255,459.2444153,1704.382324
2014-01-22 1:34,1689.765991,-698.3379517,503.2718201,-265.83255,459.2770081,1704.398682
2014-01-22 1:34,1689.700928,-698.3094482,503.2229309,-265.8652649,459.3421631,1704.435303
